line_code,ARH1,COH1,GAH2,GAH1,NYH1,NCH1,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH2,DEH1,IAH4,WIH2,IAH1,WIH1,IAH3
MBNIL B102/3IIH6,NA,NA,NA,NA,NA,NA,NA,173.4,NA,NA,NA,NA,NA,NA,NA,163.97337365,NA,NA,NA
MBNIL B102/LH185,NA,NA,NA,NA,NA,NA,NA,146.59,NA,NA,NA,NA,NA,NA,NA,164.3195389,NA,NA,NA
MBNIL B102/PHZ51,NA,NA,NA,NA,NA,NA,NA,125.66,154.83,135.085,NA,NA,NA,NA,203.315,169.49469485,NA,NA,226.32
MBNIL B107/3IIH6,NA,NA,NA,NA,NA,NA,NA,138.335,136.355,130.445,NA,NA,NA,NA,193.445,181.3485013,NA,NA,237.225
MBNIL B107/PHZ51,NA,NA,NA,NA,NA,NA,NA,130.46,109.87,126.395,NA,NA,NA,NA,169.48,193.6701517,NA,NA,240.23
MBNIL B111/3IIH6,NA,NA,NA,NA,NA,NA,NA,155.485,155.715,158.435,NA,NA,NA,NA,188.23,217.3485165,NA,NA,209.93
MBNIL B111/PHZ51,NA,NA,NA,NA,NA,NA,NA,119.395,121.255,144.745,NA,NA,NA,NA,169.685,146.2347997,NA,NA,214.7
MBNIL B122/3IIH6,NA,NA,NA,NA,NA,NA,NA,155.035,102.265,137.93,NA,NA,NA,NA,187.59,153.81005705,NA,NA,214.445
MBNIL B122/PHZ51,NA,NA,NA,NA,NA,NA,NA,133.435,131.89,152.005,NA,NA,NA,NA,176.4,203.33959805,NA,NA,247.855
MBNIL B123/3IIH6,NA,NA,NA,NA,NA,NA,NA,132.3,NA,NA,NA,NA,NA,NA,NA,195.63705495,NA,NA,NA
MBNIL B123/PHZ51,NA,NA,NA,NA,NA,NA,NA,141.275,117.355,159.1,NA,NA,NA,NA,180.52,144.3814159,NA,NA,216.18
MBNIL B136/PHZ51,NA,NA,NA,NA,NA,NA,NA,184.19,135.67,131.87,NA,NA,NA,NA,171.01,171.3610917,NA,NA,228.76
MBNIL B144/3IIH6,NA,NA,NA,NA,NA,NA,NA,154.245,NA,NA,NA,NA,NA,NA,NA,170.3790837,NA,NA,NA
MBNIL B144/LH185,NA,NA,NA,NA,NA,NA,NA,164.24,NA,NA,NA,NA,NA,NA,NA,186.62613015,NA,NA,NA
MBNIL B154/3IIH6,NA,NA,NA,NA,NA,NA,NA,148.385,179.24,136.07,NA,NA,NA,NA,171.715,189.893716,NA,NA,227.795
MBNIL B154/PHZ51,NA,NA,NA,NA,NA,NA,NA,135.47,153.735,149.06,NA,NA,NA,NA,173.055,189.9027122,NA,NA,228.365
MBNIL B169/PHZ51,NA,NA,NA,NA,NA,NA,NA,112.095,160.31,151.245,NA,NA,NA,NA,172.045,158.02692985,NA,NA,235.135
MBNIL B175/3IIH6,NA,NA,NA,NA,NA,NA,NA,120.15,159.61,143.09,NA,NA,NA,NA,173.175,142.20797675,NA,NA,204.3
MBNIL B175/LH185,NA,NA,NA,NA,NA,NA,NA,144.5,170.905,137.51,NA,NA,NA,NA,174.54,214.86514795,NA,NA,224.475
MBNIL B175/PHZ51,NA,NA,NA,NA,NA,NA,NA,129.62,173.515,151.085,NA,NA,NA,NA,181.585,157.1048825,NA,NA,222.02
MBNIL B189/3IIH6,NA,NA,NA,NA,NA,NA,NA,157.795,150.155,181.25,NA,NA,NA,NA,211.57,211.2256217,NA,NA,223.425
MBNIL B189/LH185,NA,NA,NA,NA,NA,NA,NA,133.69,175.505,131.885,NA,NA,NA,NA,182.015,197.3482988,NA,NA,246.64
MBNIL B189/PHZ51,NA,NA,NA,NA,NA,NA,NA,119.515,138.72,142.67,NA,NA,NA,NA,201.35,184.05844845,NA,NA,251.785
MO17/PHZ51,NA,NA,152.505,NA,NA,119.275,NA,151.28,148.19,117.975,NA,NA,NA,NA,93.895,NA,166.54,196.2272054,186.79
MS222/3IIH6,NA,NA,NA,NA,154.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N192/3IIH6,94.995,NA,NA,NA,118.055,NA,170.87,NA,118.435,138.47,92.03,169.97,198.975,171.05,155.385,149.7320186,163.3,163.6130237,205.44
N209/3IIH6,123.515,NA,NA,NA,143.675,NA,168.955,NA,NA,NA,NA,NA,185.76,NA,NA,NA,NA,NA,NA
N217/3IIH6,104.445,NA,NA,NA,118.335,NA,109.795,NA,139.255,176.22,174.255,177.125,192.615,134.69,198.515,164.8006471,178.73,148.8379222,188.905
N218/3IIH6,103.57,NA,NA,NA,107.28,NA,169.62,NA,NA,NA,188.72,159.91,198.805,NA,NA,NA,NA,NA,NA
